DATE,PRECIPITATION_INCHES,MIN_TEMPERATURE_F,MAX_TEMPERATURE_F,AVG_TEMPERATURE_F,AVG_WIND_SPEED_MPH,SNOWFALL_INCHES,FOG,HEAVY_FOG,THUNDER,HAIL,SMOKE
2014-10-01,0.0,52,65,58,4.7,0.0,False,False,False,False,False
2014-10-02,0.0,50,67,59,4.47,0.0,False,False,False,False,False
2014-10-03,0.0,48,72,58,2.24,0.0,False,False,False,False,False
2014-10-04,0.0,54,71,62,2.68,0.0,False,False,False,False,False
2014-10-05,0.0,53,75,61,3.13,0.0,True,True,False,False,False
2014-10-06,0.0,56,78,64,5.59,0.0,True,True,False,False,False
2014-10-07,0.0,57,66,62,2.24,0.0,True,True,False,False,False
2014-10-08,0.0,55,69,60,4.03,0.0,True,True,False,False,False
2014-10-09,0.0,52,63,58,2.24,0.0,True,True,False,False,False
2014-10-10,0.01,50,65,56,8.5,0.0,True,True,False,False,False
2014-10-11,0.29,53,65,60,7.83,0.0,True,False,True,False,False
2014-10-12,0.0,53,64,58,4.7,0.0,False,False,False,False,False
2014-10-13,0.3,50,70,59,6.93,0.0,True,False,False,False,False
2014-10-14,0.28,53,62,58,4.92,0.0,True,False,False,False,False
2014-10-15,0.34,53,61,56,10.51,0.0,True,False,False,False,False
2014-10-16,0.0,52,69,57,7.38,0.0,False,False,False,False,False
2014-10-17,0.13,53,62,60,6.71,0.0,True,False,False,False,False
2014-10-18,0.59,57,67,59,4.25,0.0,True,False,False,False,False
2014-10-19,0.0,55,72,62,7.16,0.0,False,False,False,False,False
2014-10-20,0.46,54,61,60,6.93,0.0,True,False,False,False,False
2014-10-21,0.04,53,61,56,10.51,0.0,False,False,False,False,False
2014-10-22,1.26,53,60,57,11.18,0.0,True,False,False,False,False
2014-10-23,0.37,47,58,54,10.29,0.0,False,False,False,False,False
2014-10-24,0.16,48,58,51,7.16,0.0,False,False,False,False,False
2014-10-25,0.24,47,62,53,12.08,0.0,True,False,False,False,False
2014-10-26,0.06,46,55,52,11.18,0.0,True,False,False,False,False
2014-10-27,0.03,44,60,50,5.37,0.0,False,False,False,False,False
2014-10-28,0.5,49,59,53,8.72,0.0,True,False,False,False,False
2014-10-29,0.02,53,62,57,6.93,0.0,True,False,False,False,False
2014-10-30,1.0,52,60,57,7.16,0.0,True,False,False,False,False
2014-10-31,0.67,47,55,53,4.47,0.0,True,False,False,False,False
2014-11-01,0.0,45,52,50,2.68,0.0,True,True,False,False,False
2014-11-02,0.07,45,56,49,6.49,0.0,True,False,False,False,False
2014-11-03,0.43,52,57,53,10.74,0.0,True,False,False,False,False
2014-11-04,0.16,51,58,55,7.38,0.0,True,False,False,False,False
2014-11-05,0.19,51,59,54,4.7,0.0,True,False,False,False,False
2014-11-06,0.16,51,62,57,14.99,0.0,True,False,False,False,False
2014-11-07,0.0,45,58,51,5.14,0.0,False,False,False,False,False
2014-11-08,0.0,39,55,47,1.79,0.0,True,True,False,False,False
2014-11-09,0.2,46,56,49,6.71,0.0,True,False,False,False,False
2014-11-10,0.0,42,52,48,8.72,0.0,False,False,False,False,False
2014-11-11,0.0,34,46,44,17.22,0.0,False,False,False,False,False
2014-11-12,0.0,32,44,37,17.0,0.0,False,False,False,False,False
2014-11-13,0.0,33,45,38,10.51,0.0,False,False,False,False,False
2014-11-14,0.0,28,45,37,10.07,0.0,False,False,False,False,False
2014-11-15,0.0,29,47,37,9.4,0.0,False,False,False,False,False
2014-11-16,0.0,28,49,38,9.4,0.0,False,False,False,False,False
2014-11-17,0.0,28,51,39,4.25,0.0,False,False,False,False,False
2014-11-18,0.0,31,45,39,2.01,0.0,False,False,False,False,False
2014-11-19,0.0,36,52,42,4.25,0.0,False,False,False,False,False
2014-11-20,0.14,42,52,46,4.7,0.0,True,False,False,False,False
2014-11-21,0.6,47,52,49,10.51,0.0,True,False,False,False,False
2014-11-22,0.02,44,49,47,10.51,0.0,False,False,False,False,False
2014-11-23,0.47,42,55,48,11.41,0.0,True,False,False,False,False
2014-11-24,0.05,40,53,44,8.5,0.0,True,False,False,False,False
2014-11-25,0.72,49,57,50,10.07,0.0,True,False,False,False,False
2014-11-26,0.01,54,59,56,8.72,0.0,False,False,False,False,False
2014-11-27,0.13,53,58,56,14.76,0.0,True,False,False,False,False
2014-11-28,1.35,38,55,52,12.97,0.0,True,False,False,False,False
2014-11-29,0.14,24,40,35,11.86,0.8,True,False,False,False,False
2014-11-30,0.0,23,37,28,9.84,0.0,False,False,False,False,False
2014-12-01,0.0,26,40,32,4.92,0.0,False,False,False,False,False
2014-12-02,0.0,26,42,33,12.75,0.0,True,False,False,False,False
2014-12-03,0.0,32,50,38,8.05,0.0,False,False,False,False,False
2014-12-04,0.03,39,47,42,2.46,0.0,True,False,False,False,False
2014-12-05,0.12,44,55,46,6.93,0.0,True,False,False,False,False
2014-12-06,0.29,46,53,50,8.05,0.0,True,False,False,False,False
2014-12-07,0.0,43,58,50,6.26,0.0,False,False,False,False,False
2014-12-08,0.36,48,58,53,9.4,0.0,True,False,False,False,False
